actor;sex;movies;actorProductivity;topMovie;topMovieRevenue;totalRevenue;avRevenue;birthday;launchdateTopMovie;comingMovie;dateComingMovie;Height;bornInCity;bornInCountry;MarrialStatus;Children;Dead;comingEvents;comingMovie2;dateComingMovie2;comingMovie3;dateComingMovie3
Tobey Maguire;Male;14;LowerSegment 3-15 movies;Spider-Man;404;1535;110;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
John Malkovich;Male;49;UpperSegment 31-74 movies;Transformers 3;352;1488;30;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jena Malone;Male;19;MiddleSegment 16-30 movies;Catching Fire;425;1036;55;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Leslie Mann;Male;23;MiddleSegment 16-30 movies;Big Daddy;164;1425;62;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Thomas Mann;Male;4;LowerSegment 3-15 movies;Hansel and Gretel;56;139;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rooney Mara;Male;11;LowerSegment 3-15 movies;Girl with the Dragon Tattoo;103;336;31;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brit Marling;Female;6;LowerSegment 3-15 movies;Arbitrage;8;17;3;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
James Marsden;Male;32;UpperSegment 31-74 movies;X-Men: The Last Stand;234;1845;58;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Garry Marshall;Male;1;BeginnerSegment 1-2 movies;Race to Witch Mountain;67;67;67;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Demetri Martin;Male;3;LowerSegment 3-15 movies;Taking Woodstock;8;17;6;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Steve Martin;Male;36;UpperSegment 31-74 movies;Home;177;1784;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rachel McAdams;Female;21;MiddleSegment 16-30 movies;Wedding Crashers;209;1347;64;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Callan McAuliffe;Male;2;BeginnerSegment 1-2 movies;I Am Number Four;55;57;28;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
James McAvoy;Male;18;MiddleSegment 16-30 movies;X-Men: Days of Future Past;234;781;43;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Danny McBride;Male;12;LowerSegment 3-15 movies;Tropic Thunder;111;527;44;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Melissa McCarthy;Female;11;LowerSegment 3-15 movies;Bridesmaids;169;920;84;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Matthew McConaughey;Male;32;UpperSegment 31-74 movies;Interstellar;188;1529;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Frances McDormand;Male;32;UpperSegment 31-74 movies;Transformers 3;352;1204;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ewan McGregor;Male;42;UpperSegment 31-74 movies;The Phantom Menace;475;2079;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ian McKellen;Male;31;UpperSegment 31-74 movies;Return of the King;378;3150;102;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Katherine McPhee;Female;2;BeginnerSegment 1-2 movies;The House Bunny;48;67;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Leighton Meester;Male;10;LowerSegment 3-15 movies;Date Night;99;264;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Carlos Mencia;Male;2;BeginnerSegment 1-2 movies;The Heartbreak Kid;37;57;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Eva Mendes;Female;19;MiddleSegment 16-30 movies;Hitch;180;873;46;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Scott Mescudi;Male;2;BeginnerSegment 1-2 movies;Need for Speed;44;44;22;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Messina;Male;17;MiddleSegment 16-30 movies;Julie & Julia;94;211;12;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Breckin Meyer;Male;12;LowerSegment 3-15 movies;Garfield;75;434;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jonathan Rhys Meyers;Male;16;MiddleSegment 16-30 movies;Mission: Impossible III;134;336;21;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Alyson Michalka;Female;3;LowerSegment 3-15 movies;Easy A;58;101;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Bette Midler;Female;20;MiddleSegment 16-30 movies;First Wives Club;106;755;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ezra Miller;Male;8;LowerSegment 3-15 movies;The Perks of Being a Wallflower;18;27;3;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Nicki Minaj;Female;1;BeginnerSegment 1-2 movies;The Other Woman;84;84;84;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Christopher Mintz-Plasse;Male;12;LowerSegment 3-15 movies;How to Train Your Dragon;218;965;80;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Helen Mirren;Female;42;UpperSegment 31-74 movies;Monsters University;269;1263;30;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
John Cameron Mitchell;Male;3;LowerSegment 3-15 movies;Band of the Hand;5;9;3;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Radha Mitchell;Female;21;MiddleSegment 16-30 movies;Olympus Has Fallen;99;469;22;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Alfred Molina;Male;39;UpperSegment 31-74 movies;Spider-Man 2;374;1150;30;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michelle Monaghan;Male;17;MiddleSegment 16-30 movies;Mission: Impossible III;134;663;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Demi Moore;Female;30;MiddleSegment 16-30 movies;Ghost;218;1025;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Joel David Moore;Male;14;LowerSegment 3-15 movies;Avatar;761;915;65;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Julianne Moore;Female;52;UpperSegment 31-74 movies;Mockingjay Part 1;337;1688;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mandy Moore;Female;12;LowerSegment 3-15 movies;Tangled;201;422;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chloe Moretz;Female;18;MiddleSegment 16-30 movies;The Equalizer;102;696;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jeffrey Dean Morgan;Male;11;LowerSegment 3-15 movies;Watchmen;108;288;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tracy Morgan;Female;12;LowerSegment 3-15 movies;Rio 2;132;456;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Viggo Mortensen;Male;28;MiddleSegment 16-30 movies;Return of the King;378;1524;54;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Carrie-Anne Moss;Female;16;MiddleSegment 16-30 movies;The Matrix Reloaded;282;850;53;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Elisabeth Moss;Female;13;LowerSegment 3-15 movies;Get Him to the Greek;61;130;10;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Bridget Moynahan;Female;12;LowerSegment 3-15 movies;I Robot;145;605;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Carey Mulligan;Female;10;LowerSegment 3-15 movies;The Great Gatsby;145;315;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Frankie Muniz;Male;7;LowerSegment 3-15 movies;Racing Stripes;50;233;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brittany Murphy;Female;16;MiddleSegment 16-30 movies;Happy Feet;198;707;44;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cillian Murphy;Female;14;LowerSegment 3-15 movies;Inception;293;682;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Eddie Murphy;Male;38;UpperSegment 31-74 movies;Shrek 2;441;3810;100;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Bill Murray;Male;41;UpperSegment 31-74 movies;Ghostbusters;242;1687;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mike Myers;Male;15;LowerSegment 3-15 movies;Shrek 2;441;2211;147;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Naturi Naughton;Female;2;BeginnerSegment 1-2 movies;Lottery Ticket;25;47;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Liam Neeson;Male;62;UpperSegment 31-74 movies;The Phantom Menace;475;2941;47;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Craig T. Nelson;Male;21;MiddleSegment 16-30 movies;The Incredibles;261;1122;53;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Paul Newman;Male;20;MiddleSegment 16-30 movies;Cars;244;1082;54;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Thandie Newton;Female;23;MiddleSegment 16-30 movies;Mission: Impossible II;215;904;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mike Nichols;Male;1;BeginnerSegment 1-2 movies;The Designated Mourner;0;0;0;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jack Nicholson;Male;34;UpperSegment 31-74 movies;Batman;251;1796;53;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Leslie Nielsen;Male;19;MiddleSegment 16-30 movies;Scary Movie 3;110;618;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Edward Norton;Male;23;MiddleSegment 16-30 movies;The Incredible Hulk;135;943;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael Nyqvist;Male;8;LowerSegment 3-15 movies;Mission: Impossible 4;209;304;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jack O'Connell;Male;7;LowerSegment 3-15 movies;Unbroken;116;226;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris O'Donnell;Male;19;MiddleSegment 16-30 movies;Batman Forever;184;779;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jason O'Mara;Male;2;BeginnerSegment 1-2 movies;Resident Evil: Extinction;51;77;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sophie Okonedo;Female;7;LowerSegment 3-15 movies;The Secret Life of Bees;38;104;15;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Gary Oldman;Male;36;UpperSegment 31-74 movies;The Dark Knight;535;3030;84;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mary-Kate Olsen;Female;4;LowerSegment 3-15 movies;Beastly;28;64;16;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Timothy Olyphant;Male;20;MiddleSegment 16-30 movies;Live Free or Die Hard;135;642;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Clive Owen;Male;25;MiddleSegment 16-30 movies;Inside Man;89;507;20;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
David Oyelowo;Male;11;LowerSegment 3-15 movies;Rise of the Planet of the Apes;177;502;46;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Al Pacino;Male;39;UpperSegment 31-74 movies;The Godfather;135;1457;37;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ellen Page;Female;13;LowerSegment 3-15 movies;Inception;293;713;55;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Adrianne Palicki;Female;4;LowerSegment 3-15 movies;G.I. Joe: Retaliation;123;210;53;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Teresa Palmer;Female;10;LowerSegment 3-15 movies;Bedtime Stories;110;341;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Gwyneth Paltrow;Female;33;UpperSegment 31-74 movies;Iron Man 3;409;1834;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Hayden Panettiere;Female;12;LowerSegment 3-15 movies;Remember the Titans;116;338;28;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Anna Paquin;Female;18;MiddleSegment 16-30 movies;X-Men: The Last Stand;234;875;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sarah Jessica Parker;Female;28;MiddleSegment 16-30 movies;Sex and the City;153;991;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dev Patel;Male;6;LowerSegment 3-15 movies;Slumdog Millionaire;141;384;64;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Robert Pattinson;Male;13;LowerSegment 3-15 movies;The Twilight Saga: Eclipse;301;1734;133;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Paula Patton;Female;11;LowerSegment 3-15 movies;Mission: Impossible 4;209;565;51;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Guy Pearce;Male;31;UpperSegment 31-74 movies;Iron Man 3;409;1211;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Amanda Peet;Female;26;MiddleSegment 16-30 movies;2012;166;881;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Simon Pegg;Male;17;MiddleSegment 16-30 movies;Star Trek;258;1456;86;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kal Penn;Male;13;LowerSegment 3-15 movies;Superman Returns;200;415;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sean Penn;Male;38;UpperSegment 31-74 movies;Mystic River;90;760;20;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Piper Perabo;Female;16;MiddleSegment 16-30 movies;Cheaper by the Dozen;139;581;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Alex Ross Perry;Male;1;BeginnerSegment 1-2 movies;7 Chinese Brothers;0;0;0;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Matthew Perry;Male;7;LowerSegment 3-15 movies;17 Again;64;201;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tyler Perry;Female;15;LowerSegment 3-15 movies;Gone Girl;168;867;58;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Alex Pettyfer;Male;6;LowerSegment 3-15 movies;Magic Mike;114;258;43;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michelle Pfeiffer;Female;36;UpperSegment 31-74 movies;Batman Returns;163;1431;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ryan Phillippe;Male;16;MiddleSegment 16-30 movies;I Know What You Did Last Summer;73;400;25;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Joaquin Phoenix;Male;27;MiddleSegment 16-30 movies;Signs;228;1013;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rosamund Pike;Female;18;MiddleSegment 16-30 movies;Gone Girl;168;703;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Pine;Male;16;MiddleSegment 16-30 movies;Star Trek;258;1124;70;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jada Pinkett-Smith;Male;22;MiddleSegment 16-30 movies;The Matrix Reloaded;282;1699;77;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Freida Pinto;Female;7;LowerSegment 3-15 movies;Rise of the Planet of the Apes;177;406;58;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brad Pitt;Male;38;UpperSegment 31-74 movies;World War Z;202;2610;69;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Aubrey Plaza;Female;9;LowerSegment 3-15 movies;Funny People;52;92;10;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sydney Pollack;Male;10;LowerSegment 3-15 movies;Tootsie;177;533;53;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sarah Polley;Female;19;MiddleSegment 16-30 movies;Dawn of the Dead;59;116;6;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Imogen Poots;Male;13;LowerSegment 3-15 movies;Need for Speed;44;133;10;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Natalie Portman;Female;24;MiddleSegment 16-30 movies;The Phantom Menace;475;2061;86;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Parker Posey;Male;31;UpperSegment 31-74 movies;Superman Returns;200;588;19;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Franka Potente;Female;9;LowerSegment 3-15 movies;The Bourne Supremacy;176;360;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Pratt;Male;12;LowerSegment 3-15 movies;Jurassic World;649;1497;125;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Freddie Prinze Jr.;Male;16;MiddleSegment 16-30 movies;Scooby-Doo;153;519;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jonathan Pryce;Male;32;UpperSegment 31-74 movies;Dead Man's Chest;423;1568;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dennis Quaid;Male;54;UpperSegment 31-74 movies;The Day After Tomorrow;187;1685;31;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Daniel Radcliffe;Male;13;LowerSegment 3-15 movies;Harry Potter / Deathly Hallows (P2);381;2449;188;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Josh Radnor;Male;3;LowerSegment 3-15 movies;Liberal Arts;0;1;0;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Harold Ramis;Male;1;BeginnerSegment 1-2 movies;The Last Kiss (2006);12;12;12;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Noomi Rapace;Female;9;LowerSegment 3-15 movies;Sherlock Holmes 2;187;359;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Emily Ratajkowski;Female;1;BeginnerSegment 1-2 movies;We Are Your Friends;4;4;4;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jackson Rathbone;Male;5;LowerSegment 3-15 movies;The Twilight Saga: Eclipse;301;1303;261;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Max Records;Male;2;BeginnerSegment 1-2 movies;Where the Wild Things Are;77;108;54;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lance Reddick;Male;6;LowerSegment 3-15 movies;Don't Say a Word;55;121;20;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Robert Redford;Male;28;MiddleSegment 16-30 movies;Captain America 2;260;1558;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Eddie Redmayne;Male;7;LowerSegment 3-15 movies;Les Miserables;149;274;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Crystal Reed;Female;1;BeginnerSegment 1-2 movies;Skyline;21;21;21;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Christopher Reeve;Male;15;LowerSegment 3-15 movies;Superman;134;428;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Keanu Reeves;Male;42;UpperSegment 31-74 movies;The Matrix Reloaded;282;1866;44;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rob Reiner;Male;1;BeginnerSegment 1-2 movies;The Wolf of Wall Street;117;117;117;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jeremy Renner;Male;20;MiddleSegment 16-30 movies;The Avengers;623;2087;104;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ryan Reynolds;Male;28;MiddleSegment 16-30 movies;The Croods;187;1269;45;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Giovanni Ribisi;Male;29;MiddleSegment 16-30 movies;Avatar;761;1846;64;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Christina Ricci;Female;35;UpperSegment 31-74 movies;Addams Family;114;744;21;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Denise Richards;Male;11;LowerSegment 3-15 movies;World Is Not Enough;127;365;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Alan Rickman;Male;25;MiddleSegment 16-30 movies;Harry Potter / Deathly Hallows (P2);381;1688;68;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rob Riggle;Male;9;LowerSegment 3-15 movies;The Lorax;214;655;73;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Noah Ringer;Male;1;BeginnerSegment 1-2 movies;The Last Airbender;132;132;132;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
AnnaSophia Robb;Female;8;LowerSegment 3-15 movies;Bridge to Terabithia;82;273;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tim Robbins;Male;36;UpperSegment 31-74 movies;War of the Worlds;234;890;25;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Emma Roberts;Female;14;LowerSegment 3-15 movies;We're the Millers;150;429;31;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Julia Roberts;Female;39;UpperSegment 31-74 movies;Ocean's Eleven;183;2642;68;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Rock;Male;23;MiddleSegment 16-30 movies;Madagascar 3;216;1603;70;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
The Rock;Male;22;MiddleSegment 16-30 movies;Furious 7;351;2145;98;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sam Rockwell;Male;32;UpperSegment 31-74 movies;Iron Man 2;312;1054;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michelle Rodriguez;Female;17;MiddleSegment 16-30 movies;Avatar;761;2095;123;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Seth Rogen;Male;20;MiddleSegment 16-30 movies;Kung Fu Panda;215;1851;93;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rebecca Romijn;Female;8;LowerSegment 3-15 movies;X-Men: The Last Stand;234;680;85;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Saoirse Ronan;Female;12;LowerSegment 3-15 movies;The Grand Budapest Hotel;59;232;19;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Emmy Rossum;Female;12;LowerSegment 3-15 movies;The Day After Tomorrow;187;331;28;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Eli Roth;Male;1;BeginnerSegment 1-2 movies;Aftershock;0;0;0;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mickey Rourke;Male;35;UpperSegment 31-74 movies;Iron Man 2;312;842;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brandon Routh;Male;3;LowerSegment 3-15 movies;Superman Returns;200;203;68;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Gena Rowlands;Female;21;MiddleSegment 16-30 movies;The Notebook;81;358;17;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Paul Rudd;Male;31;UpperSegment 31-74 movies;Ant-Man;177;1321;43;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mark Ruffalo;Male;32;UpperSegment 31-74 movies;The Avengers;623;1802;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
